id,name,description
1,Areesh,"Originated in Egypt, it is similar to cottage cheese. Shanklish, a fermented cheese, is made from areesh cheese.[2]"
2,Domiati,"A soft white salty cheese made primarily in Egypt,[3] but also in Sudan and other Middle Eastern countries."
3,Karish,"Made from Laban Rayeb, a curdled milk product"
4,Mish,A traditional Egyptian cheese that is made by fermenting salty cheese for several months or years.
5,Roumy cheese,"Also known as ""ras cheese"", roumy is one of the main types of cheese in Egypt. It has a distinctive smell, and different degrees of salty taste according to the stage of aging."
6,Ayibe,"A cottage cheese that is mild and crumbly. It has little flavor on its own, and is often served as a side dish to soften the effect of very spicy food."
7,Caravane cheese,"The brand name of a camel milk cheese produced in Mauritania by Tiviski, a company founded by Nancy Abeiderrhamane in 1987. The milk used to make the cheese is collected from the local animals of a thousand nomadic herdsmen, and is very difficult to produce, but yields a product that is low in lactose."
8,Bokmakiri cheese,A type of soft goat's milk cheese made in South Africa.
9,Kwaito cheese,"A mild, creamy cows milk cheese made by the Indezi River Cheese Company in South Africa."
10,Chechil,"A brined string cheese that originated in Armenia and Anatolia, it has a consistency approximating that of suluguni or mozarella and is produced in the form of dense strings, rolled up in a figure eight of thick braid-shaped ropes."
11,Motal,Listed by the Ark of Taste project
12,Chhena,"Fresh, unripened curd cheese made from water buffalo milk. A crumbly and moist form of farmers cheese or paneer, it is used to make desserts such as rasgulla."
13,Chhurpi,A traditional cheese consumed in the Himalayan region. There are two varieties of chhurpi - soft variety (consumed as a side dish with rice)[4] and hard variety (chewed like a betel nut).
14,Chura kampo,(Tibetan dried cheese) is a Tibetan cheese and important within the cuisine of Tibet. Chura kampo is made from the curds that are left over from boiling buttermilk.
15,Chura loenpa,"a Tibetan cheese that is significant within the cuisine of Tibet. It is a soft cheese, similar to cottage cheese, made from the curds that are left over from boiling buttermilk."
16,Nguri,"A buffalo's milk cheese of Fujian province, China. It is in a ball-shape approximately the size of a table tennis ball and has a soft, leathery texture."
17,Rubing,"A firm, fresh goat milk cheese made in the Yunnan Province of China by people of the Bai and Sani (recognized as a branch of the Yi in China) minorities.[5]"
18,Rushan,Pictured is Rushan cheese being grilled.
19,Sulguni,"A pickled Georgian cheese from the Samegrelo region. It has a sour, moderately salty flavor, a dimpled texture, and an elastic consistency; these attributes are the result of the process used, as is the source of its moniker ""pickle cheese"". Its color ranges from white to pale yellow. Sulguni is often deep-fried, which masks its odor. It is often served in wedges."
20,Bandel,"An Asian cheese that originated in a Portuguese colony Bandel located in eastern India. Today, the production is concentrated in the towns of Tarakeswar and Bishnupur, Bankura, near Kolkata, West Bengal, India.[6][7]"
21,Paneer,"A fresh cheese common in South Asian cuisine. In eastern parts of Indian Subcontinent, it is generally called Chhena. It is an unaged, acid-set, non-melting farmer cheese or curd cheese made by curdling heated milk with lemon juice, vinegar, or any other food acids."
22,Chhena,"A fresh, unripened curd cheese made from water buffalo milk. A crumbly and moist form of farmers cheese or paneer, it is used to make desserts such as rasgulla. The earliest reference of cheese in India dates back to 1400 BCE.[8][9]"
23,Khoa,"This cheese is widely used in Indian and Pakistani cuisine. It's made of either dried whole milk or milk thickened by heating in an open iron pan. It's similar to ricotta cheese, but lower in moisture.[10]"
24,Kalari,"Also known as Kiladi or Maish Krej (Kashmiri: ميش کريج,)"
25,Akkawi,"A white brine cheese. It is named after the city of Acre, where it first originated, and is commonly made using cow milk, but can be also be made with goat or sheep's milk."
26,Basket cheese,"Made from cow's milk, it's available fresh or dry. Fresh basket has no salt taste, while dry basket is mildly salty. Basket cheese gets its name from the way it is formed (inside a basket)."
27,Jameed,"Hard, dry laban made from goat or ewe's milk.[13] Milk is kept in a fine woven cheesecloth to make a thick yogurt. Salt is added daily to thicken the yogurt even more and the outside of the yogurt filled cheesecloth is rinsed with water to allow any remaining whey to seep through. After a few days of salting the yogurt, it becomes very dense and it can be removed from the cheesecloth and shaped into round balls. Pictured is white Jameed in a shop front in Jerusalem."
